cell_type,cell_typeLabel,marker_count
http://www.wikidata.org/entity/Q101405035,human interneuron,216
http://www.wikidata.org/entity/Q101405104,human neuron,203
http://www.wikidata.org/entity/Q68621315,human endothelial cell,187
http://www.wikidata.org/entity/Q101404861,human fibroblast,170
http://www.wikidata.org/entity/Q101405101,human hepatocyte,149
